_id,user_id,start_equity,end_equity,growth_yearly,gain,avg_gain,vol,var,risk,max_risk,date,,updated_at,
623bb485c35acf5160631df3,U1500107,0,0,0,0,0,0,0,1,1,23/3/2022,T23:59:59.999Z,2022-03-24T00:00:05.583Z,
623d0604091733439e34e7ac,U1500107,0,0,0,0,0,0,0,1,1,24/3/2022,T23:59:59.999Z,2022-03-25T00:00:04.798Z,
623e57858bdd6e34270729c2,U1500107,0,0,0,0,0,0,0,1,1,25/3/2022,T23:59:59.999Z,2022-03-26T00:00:05.318Z,
623fa9068bdd6e3427073404,U1500107,0,0,0,0,0,0,0,1,1,26/3/2022,T23:59:59.999Z,2022-03-27T00:00:06.635Z,
6240fa88f169f2fff4301a84,U1500107,0,0,0,0,0,0,0,1,1,27/3/2022,T23:59:59.999Z,2022-03-28T00:00:08.337Z,
62424c060e0bee184327f485,U1500107,0,0,0,0,0,0,0,1,1,28/3/2022,T23:59:59.999Z,2022-03-29T00:00:06.434Z,
62439d860e0bee1843287458,U1500107,0,0,0,0,0,0,0,1,1,29/3/2022,T23:59:59.999Z,2022-03-30T00:00:06.346Z,
6244ef07d754199a1c1e0751,U1500107,0,0,0,0,0,0,0,1,1,30/3/2022,T23:59:59.999Z,2022-03-31T00:00:07.059Z,
62464088787137aa086bfc21,U1500107,0,0,0,0,0,0,0,1,1,31/3/2022,T23:59:59.999Z,2022-04-01T00:00:08.502Z,
6247920c44992dc2a2f6d701,U1500107,0,0,0,0,0,0,0,1,1,1/4/2022,T23:59:59.999Z,2022-04-02T00:00:12.146Z,
6248e38f44992dc2a2f6eeed,U1500107,0,0,0,0,0,0,0,1,1,2/4/2022,T23:59:59.999Z,2022-04-03T00:00:15.572Z,
624a351044992dc2a2f6fcab,U1500107,0,0,0,0,0,0,0,1,1,3/4/2022,T23:59:59.999Z,2022-04-04T00:00:16.700Z,
624b868845e39c7b6a1e79e9,U1500107,0,0,0,0,0,0,0,1,1,4/4/2022,T23:59:59.999Z,2022-04-05T00:00:08.767Z,
628d73e8d0f4b7fbaf83fb94,U1500107,0,-238317.9621,-4056.291426,0,0,0,0,1,1,24/5/2022,T23:59:59.999Z,2022-05-25T00:10:16.118Z,
628ec5675dded29ee536ef2a,U1500107,-238317.9621,-150101.7408,-258.2802347,-2.693940838,3.62865862,1.346970419,333.3981337,10,10,25/5/2022,T23:59:59.999Z,2022-05-26T00:10:15.801Z,
629017073cb2009e9ff47880,U1500107,-150101.7408,-150279.7634,-258.4660522,-2.695949874,4.841820988,1.270409689,371.5732672,10,10,26/5/2022,T23:59:59.999Z,2022-05-27T00:10:47.474Z,
629168fc3cb2009e9ff4aa51,U1500107,-150279.7634,-150220.3926,-257.6845155,-2.695279858,5.447499119,1.166994075,367.5439255,10,10,27/5/2022,T23:59:59.999Z,2022-05-28T00:12:44.508Z,
6297fd896be74884a350fd15,U1500107,-150220.3926,-150061.6046,-257.6475195,0,0,0,0,1,1,1/6/2022,T23:59:59.999Z,2022-06-02T00:00:09.597Z,
62994f0aed91571dc0aebb02,U1500107,-150061.6046,-150061.6046,0,0,0,0,0,1,1,2/6/2022,T23:59:59.999Z,2022-06-03T00:00:10.347Z,
629aa08a19c3d48f5c928652,U1500107,-150061.6046,-150061.6046,0,0,0,0,0,1,1,3/6/2022,T23:59:59.999Z,2022-06-04T00:00:10.980Z,
629bf20b19c3d48f5c929f90,U1500107,-150061.6046,-150061.6046,0,0,0,0,0,1,1,4/6/2022,T23:59:59.999Z,2022-06-05T00:00:11.376Z,
629d438b19c3d48f5c92abdd,U1500107,-150061.6046,-150061.6046,0,0,0,0,0,1,1,5/6/2022,T23:59:59.999Z,2022-06-06T00:00:11.811Z,
629e950b0c76b09468c94a32,U1500107,-150061.6046,-150061.6046,0,0,0,0,0,1,1,6/6/2022,T23:59:59.999Z,2022-06-07T00:00:11.578Z,
629fe68a08be57246bc0ccb5,U1500107,-150061.6046,-149784.0208,0.293346737,0,0,0,0,1,1,7/6/2022,T23:59:59.999Z,2022-06-08T00:00:10.759Z,
62a1380a27d1e112042829a7,U1500107,-149784.0208,-150061.6451,-4.28E-05,0,0,0,0,1,1,8/6/2022,T23:59:59.999Z,2022-06-09T00:00:10.961Z,
62a2898b8d71a3d6c49e5353,U1500107,-150061.6451,-150002.7851,-4.28E-05,0,0,0,0,1,1,9/6/2022,T23:59:59.999Z,2022-06-10T00:00:11.031Z,
62b25b91521d5e275fded6fb,U1500107,-150002.7851,1083248.417,-0.165158193,-0.594096584,0.352950751,0,0,1,1,21/6/2022,T23:59:59.999Z,2022-06-22T00:00:17.125Z,
62b3ad11c74ddd71d748762b,U1500107,1083248.417,1087383.434,-0.037584396,-0.592547154,0.35203144,0.000774715,0.133368853,1,1,22/6/2022,T23:59:59.999Z,2022-06-23T00:00:17.036Z,
62b4fe90c74ddd71d7487ddf,U1500107,1087383.434,1099052.87,0.366771451,-0.588174506,0.350004043,0.002507584,0.431255785,1,1,23/6/2022,T23:59:59.999Z,2022-06-24T00:00:16.630Z,
62b65011c74ddd71d7488594,U1500107,1099052.87,1101159.361,0.441124663,-0.587385184,0.348758371,0.002838394,0.487849128,1,1,24/6/2022,T23:59:59.999Z,2022-06-25T00:00:17.230Z,
62b7a192c74ddd71d7488d49,U1500107,1101159.361,1102296.758,0.449381401,-0.58695899,0.347910868,0.002917092,0.501165797,2,2,25/6/2022,T23:59:59.999Z,2022-06-26T00:00:18.132Z,
62b8f311c74ddd71d7489501,U1500107,1102296.758,1097641.469,0.289373889,-0.588703371,0.347687667,0.00269597,0.463125676,1,2,26/6/2022,T23:59:59.999Z,2022-06-27T00:00:17.010Z,